Listing_id,Review_id,Date,Reviewer_name,Comments
43736299,708302159,2020/11/12,Marc,Scott was great when I need a last minute place to stay. The place really looks great and the photos don’t do it justice. <br/><br/>While I didn’t get a chance to utilize the kitchen it was a nice touch having that available to me... and it’s huge. It was great that there was an office room for me to get some work done before bed. <br/><br/>I was thoroughly impressed by my stay here and able to a good nights sleep away from home because I typically don’t. PS those white noise machines are an awesome touch definitely recommend using those.
22431640,7.92E+17,2022/12/28,Roxanne,Easy to get to and check in was a breeze. Great little touches made us feel at home.
25549565,591135630,2020/1/10,Huimin,"Janet’s place is very clean and cosy, located in such a lovely part of downtown Albany. Janet is very amicable, offering great tips for my little trip. I’ll definitely rebook her place if I come to Albany next time!"
28722270,4.64E+17,2021/10/1,Julian,"Its a great little apartment. It was fully stocked, cozy, and with a dedicated parking spot. Its also super close to all of downtown Albany."
51964868,5.31E+17,2022/1/2,Jodi,"Overall everything was great! My only complaint was lack of pots/pans/knifes in the kitchen. I book airbnbs because I like to cook when I travel. If that stuff doesn’t matter to you, then you’re all good! Other than that couch was comfy, bed was great. The space was great and so was the location. I would recommend and book again. Parking was difficult at times, but that’s out of their control."
13711253,248043597,2018/3/30,Bonita,The room was great with a nice comfy queen size bed and nice big smart TV. Breakfast every morning was on point and the Turkish coffee he serves is better then Folgers and His meals are made with love. It's just a quick walk to the shops and the grocery store is just one block away. And the bus runs almost right to the front door. He says this is not work for him.. serving people is his hobby and it's very apparent in the way he is so attentive to any need you might have. He even washes and folds your laundry at no extra cost and has it waiting by your door when he's finished. You'll enjoy your stay for as long or short it may be.. it's definitely worth coming back again 🙂<br/>Laura
50207226,6.70E+17,2022/7/12,Krystal,awesome place
28722270,444849364,2019/4/28,Isabelle,"great place, good location, easy to walk to a lot of place, appreciate the parking space, it was perfect for our short stay. Earl and Hanna were easy to communicate with."
28868857,541052180,2019/10/4,Clayton,Great stay in Albany!
39873571,7.49E+17,2022/10/29,Nicole,Spacious but a bit noisy. This is a busy corner property so the noise level from the street is a bit much. Good burger place on the adjacent corner.
48124042,8.52E+17,2023/3/21,Amber,"Comfortable, well appointed apartment close to the Capital. Dillon was responsive and great to work with. Will definitely stay here next time I’m in Albany."
45804322,7.09E+17,2022/9/5,Sascha,It was a very nice place to stay.
54128829,7.49E+17,2022/10/30,Paula Nina,Great location that's central to all the main stops in town. It is on a quiet street and the amenities and communication between Richard and Priscela was perfect.
9501054,402185903,2019/1/17,Nemesio,Great location and value. Gregg is very accommodating.
22398196,6.94E+17,2022/8/15,Virginia,"The hosts are super responsive and answered all my questions promptly. They keep an immaculate Victorian house. The kitchen is so clean you would think you are there by yourself!  There was also a frig in my room.  I  saw other people at different times and they all smiled when they said “Hello.�?I found the place to be quiet and peaceful. <br/>The neighborhood is fun to walk around, with interesting  houses and gardens and two free libraries. If you’re hungry, the block of New Scotland between Ontario and Quail is full of restaurants and it’s an easy walk.  <br/>Guests are encouraged to do their part to keep the place neat and clean and it really makes a difference.  It’s a very pleasant place."
6.69E+17,8.86E+17,2023/5/7,Christina,"Thomas home is a palace of relaxation with many luxurious touches throughout. Justin the co host ensures that all of your needs are met with even the smallest things.<br/><br/>The beds are comfortable, the kitchen is HGTV. worthy  and the outdoor space is amazing. I would highly recommend this true gem of a stay!!"
1489424,310385813,2018/8/19,Joanie,"Pros: nice hosts, good location, comfy bed, large room <br/>Cons: the space needs some work/updating/deep cleaning "
54126427,6.48E+17,2022/6/12,Tom,Nice clean place updated inside and looks like cleaning up the exterior too! Erion was perfect with communication and getting place ready with short notice.  Located in perfect walking distance to the heart of the city of Albany would go stay again anytime.  Thanks Erion
5651579,287722454,2018/7/8,Iris,"Second time staying at Greggs place because I enjoyed it so much the first time. Nice accommodation, great host and excellent location. In fact, this airbnb is ideal if you want to conduct research at the New York State Archives and Library.  Only a 5 minute walk away! "
39836487,4.48E+17,2021/9/9,Sophia,"Perfect place in a very central location to restaurants, sights, and music venues. We wish we could’ve stayed longer!"
1489424,550239168,2019/10/18,Michael,You simply can't beat this price and location. And I loved the basement solitude with a great collection of books attached!
28722270,466781701,2019/6/9,Troy,"Great loft, nice and quiet top floor apartment. Easy access"
39093517,703811818,2020/10/25,Erin,"This place was sparkling clean, had various new appliances, was right in downtown Albany, and we loved the high ceilings! A 30 min drive to some beautiful trails and some great food places near by for takeout. We appreciated the off-the-street parking, and felt very comfortable in the living room area (with access to Netflix!)"
11639446,337514972,2018/10/16,Kristin,"Adam is a wonderful host! His place is more like a guest house, with private rooms and a shared bath (and kitchen available). There is a cafe downstairs and he cooks wonderful, healthy meals. Highly recommended and I'd stay there again if I pass through Albany."
9501054,197156110,2017/9/24,Pablo,"Great location, and it feels like home."
19527043,497443316,2019/7/28,Nell,"I stayed with Ed and Ann for two months during a summer internship and their place was a great find - it's very clean, safe, cozy and conveniently located. I could use the kitchen and they added a mini fridge to the room not long after I arrived, which was super helpful. Plus their two dogs are so cute!"
48052353,5.67E+17,2022/2/21,Virginie,"Good communication with Scott, definitely looking like the pictures. Only 10 min away from the train station."
34330970,5.63E+17,2022/2/15,Tiffany,Might not actually get a chance to enjoy the Jacuzzi because the water runs cold before you could even get it filled all the way up . I rented it for two days and didn’t get a chance to hop in the Jacuzzi because I was too busy boiling pots of water to keep the water warm in the tub while I waited for the hot water tank to reheat itself so I could then use the Fossett
22398196,611647000,2020/2/27,Olesya,"The place is very nice and clean. I got quick response, checking in and out was super easy. The location is good too. I would recommend this place definitely."
39836487,4.50E+17,2021/9/12,Noelle,"Overall very clean and tidy. Location is a little sketchy, I wouldn’t walk around at night. But it’s center of Albany and great for nightlife and going to all the best restaurants in town. The bed was my only concern. Sheets were clean and everything but the bed itself smelled like a man had been sleeping in it and then he last minute changed the sheets. I would bring your own blankets. Otherwise it was a great stay. Bring an extra bath towel too, they only had one. The pizza downstairs was amazing!!! I would recommend this to the younger crowd, but not to the elderly as the stairs were very steep and dangerous."
6.78E+17,8.96E+17,2023/5/21,Anastasia,"This place was spacious and made me feel right at home! Kitchen was good with lots of plates, forks, etc. Also, fun play room!"
6.54E+17,8.33E+17,2023/2/22,Chris,"Linda’s place is perfectly situated for a great time in Albany! The kitchen is stocked with dishes for meals, and the in-unit laundry is really helpful! <br/>Linda was very responsive,  worked very hard to fix any issues that came up and also accommodating for us who had a 10 month old. <br/>Would definitely stay again"
35914565,7.49E+17,2022/10/30,Tori,Diana’s place was very unique and good value for price
6623339,78927486,2016/6/10,Sabrina,Terra made my first AirBnB experience amazing. I was visiting a couple of friends who lived there and attended a nearby university to hang out for one final time (I am leaving the state of New York) and to celebrate two birthdays. I only stayed for one night but their apartment was very clean and conveniently located. Terra was also very prompt in her responses and very easy to speak to.
11253948,5.77E+17,2022/3/6,Jennifer,Great house. Comfy beds and clean! Close to the mall and restaurants. Peter was a good communicator. Fancy surround sound    and shower lights. Would definitely book again when back in the area!
24655782,412485401,2019/2/15,Chris And Melissa,Great value and walking distance to downtown. Apt was a nice size and private. A park across the street was a nice place to take the dog.  We would stay here again.
7.39E+17,7.84E+17,2022/12/17,Foisal,"Jason was a very good host, felt like home there. liked the kitchen and spaces. nice one for solo trip"
47408047,5.35E+17,2022/1/7,Monique,"We're definitely going to be returning each time we're in Albany!! It was clean, had everything we needed and the perfect location. Check in was quick and a breeze"
40897436,7.07E+17,2022/9/2,Allan,Everything was great except for parking which was a little bit of a hassle
52863776,7.34E+17,2022/10/9,Annalee,"Beautiful apartment, excellent location. Would stay again"
50480092,6.39E+17,2022/5/31,Jeanette,"I have to share these few comments - this property is overall  poorly maintained with many inadequate, make shift fixes. The household  electrical circuitry needs upgrading and at times felt unsafe. The overhead oven fan could not be used nor could yours more than 2 appliances at the same time. The entire back yard BBQ feature required extensive sweeping & cleaning , prior to use and the  thoughtful small outdoor lights that was hung around the gazebo  were entirely inoperable and not connected to any power source. I would not stay here again nor would I encourage others to. The photos are accurate. There was ample on street  parking for all of our vehicles . There is a ring camera monitoring the front of the home which is so helpful because in this neighborhood, as mentioned in many other reviews of this listing,  its definitely full of activity in which a video security system is required. Another positive feature is this rental accepts pet."
25549565,743610261,2021/3/29,Brian,Cozy place to stay!
52863776,7.59E+17,2022/11/13,Lysandra,This place was as described and as the pictures shows. It was comfortable clean and modern great for a couple. Lloyd made sure that we had everything we needed and was comfortable.the area was nice and didn’t have trouble with parking since it was the weekend. It was an affordable stay and enjoyed the place.would recommend and stay again.thanks again for having us.
5651579,152031002,2017/5/14,Michelle,Gregg's place was perfect walking distance to my cousin's graduation. The bed was comfortable and the studio was cozy. 
13711253,294791391,2018/7/22,Charles,"Super special one-of-a-kind host and place - Adam seems to live to make people happy, thorough hospitality, kindness, and food (and probably more, but that's what i got in a fourteen hour stay).  Everything other reviewers say is true.  OTOH this place won't suit everyone: if you're a stickler for cleanliness (beyond ""clean enough"") or would be uncomfortable in a noisy primarily African-American neighborhood, choose another place.  Otherwise, this is your place."
16531782,8.72E+17,2023/4/17,Patricia,it was perfect... very safe neighborhood!! home was beautiful.. host was very friendly and helpful. would definitely stay again!!!
52836323,7.70E+17,2022/11/27,Bryan,Enjoyed stay thanks
44265426,4.80E+17,2021/10/23,Jaclyn,"Our stay was perfect. The location was great with lots to do within walking distance. The neighborhood was charming. And we loved the apartment! The living area was stunning and the bedroom was large and comfy. The coffee and tea station was a great touch.  Best yet, the space was extremely clean and neat. Definitely recommend if you need a place to stay in Albany!"
6.34E+17,8.69E+17,2023/4/13,Joellen,Lori is a great host. helpful and responsive. The home was well kept and very comfy. The location is walkable and convenient to 2 great areas with restaurants and more.
53715423,6.67E+17,2022/7/9,Cecile,Very considerate and good communication. Recommend!
25549565,418609735,2019/3/2,Susan,"Perfect location, walkable with many eating options around, very helpful host"
42763847,8.96E+17,2023/5/21,Tyler,"Anthony is a reliable and communicative host. As described, the house is both great for humans and your furry pal!"
32993402,495122869,2019/7/25,René,Good place very nearby the city center. We loved it.
38321579,6.81E+17,2022/7/28,Lars,"Great host, wonderful artist"
28519423,8.86E+17,2023/5/6,Kari,"I am a Registered Nurse on assignment at a local hospital a few times a week. I maintain an apartment in Brooklyn, but since Albany is too far to commute daily,I specifically was looking for a black owned space in Albany. The bonus is the owner is also a woman. I enjoyed the space, the snacks and a notable mention is the bathroom was always clean, I began to wonder how a share bathroom could be so well maintained. Didn’t have much time for TV but she does have access to several streaming services.The various ornaments gave a home feel. I will most likely continue using the space as often as I visit. Safe neighborhood I was able to walk to an from work 1.5 miles each way without incident. Also several eating spots and close by is the #114. Thank you Share."
7.01E+17,7.49E+17,2022/10/30,Lauren,Great stay! Jose was a great host. The bnb was clean and beautiful. The neighborhood was quiet: Jose was very easy to communicate with and checked in frequently to make sure my stay was up to par. Pet friendly even with Bully breeds! Highly recommend this place
7.08E+17,8.46E+17,2023/3/12,Kay,My stay here was overall good. I came in to town to celebrate my grandfathers 90th Birthday! The host was helpful with helping me know how close the location was to my family's home which ultimately lead to me booking with them. I had a couple hiccups upon entering the space but overall it was clean and had all the items needed for my weekend stay. I will most likely stay again!
24120690,483486934,2019/7/7,Lucas,A very large space to stay in a quiet neighborhood not far from downtown Albany. Definitely worth a visit!
6623339,536404656,2019/9/26,Erin,"Terra's apartment is beautiful. Very centrally located with plenty of restaurants and shops within walking distance. The parking space is a nice bonus. As other reviewers state, its proximity to nightlife can make it a bit noisy, but this was not a problem during my stay -- the area was quiet at bedtime. The building itself is very quiet. Check-in was straightforward and convenient. The space is furnished very nicely, and the bed is one of the most comfortable I've ever slept in. I highly recommend this stay and will definitely be back!"
48124042,4.84E+17,2021/10/29,Tess,Dillon was great!
20671966,213694787,2017/11/22,Lauren,I was staying in Albany for 4 weeks... the suite was the perfect place for my stay!
6.25E+17,7.48E+17,2022/10/28,Tim,It is a lovely unit. It was very quiet and clean and the bed is super comfortable.
28868857,488040664,2019/7/14,Guy,"Appartement bien situé à  Albany, très propre, plusieurs petites choses comprises dans le studio"
35793179,5.87E+17,2022/3/20,Peter,"Great value. Comfortable room, easy access, good neighborhood. Hosts were friendly and helpful."
9005989,446000772,2019/4/30,Danny,A charming place in the perfect location for business or pleasure travel to Albany!
17238066,6.81E+17,2022/7/28,Fenella,"Adam is a gracious and very communicative host. Left me breakfast and a packed lunch at 6:45am every morning. Definitely read the description because this is not somewhere to stay if you are fussy about cleanliness, etc. But very good value and a very nice host - I would stay here if I came to Albany again."
7.24E+17,8.69E+17,2023/4/13,Tao,Very quite neighborhood. Beautiful inside and out!
33558235,526189301,2019/9/8,Leonardo,"Great place, location, extra clean, everything you need in an apartment. Great host, always helpful to assist us, thanks!"
6.78E+17,7.69E+17,2022/11/26,Matt,What a nice place. My family of 4 had plenty of room and it’s such a great location.  Romel was very helpful and responsive.
6.43E+17,7.19E+17,2022/9/18,D Marie,Great location w/ easy walking to much of Albany.
32993402,634966914,2020/7/5,Faryal,Earl is the best host you can have. He is responsive and efficient towards his guests. The place is outstanding and has everything you need to have a relaxing and comfortable stay.
26139592,562232876,2019/11/10,Serigne,Good
47943571,5.84E+17,2022/3/16,Frederick,"My experience at this Airbnb was pretty awesome. The unit was super cozy, the location was perfect and Dillon was more than happy to provide suggestions and keep very clear and consistent communication."
43955950,4.20E+17,2021/8/2,Linda,"Diana's house in Albany has everything we need.  It is easy to get to anything in Albany and areas nearby.  The neighborhood is pleasantly quiet, and we always feel safe.  We arrived after dark, and lights were on in the front porch, and throughout the house, with motion detection lights in the driveway and enclosed backyard.  The kitchen, bathroom, bedrooms and living area are all thoughtfully equiped.  Diana is always very quick to respond to us and offers  clear and considerate answers to any questions we have.  Even our dog is comfortable and at home at Diana's place.  We will be back."
44180048,4.76E+17,2021/10/18,Dorothy,"Great accommodations in an excellent location, right on the park and within walking distance of some really good restaurants - try the Iron Gate Cafe - incredible breakfast in a lovely outdoor patio.  The apartment is large, clean and well appointed and looks just like the pictures in a wonderful old historic brownstone.  We can’t wait to come back."
8035768,133438667,2017/2/22,Alan,Great place! John was super friendly and helpful. Highly recommended. Thanks again for hosting us!
24655782,7.66E+17,2022/11/22,Mark,We've stayed here before and it's always a convenient and comfortable place to stay!
7.24E+17,8.64E+17,2023/4/6,Amanda,Beautifully updated and private space. The space was clean and well maintained. It was the perfect stay for my family and I. We will definitely be staying again when we are back in the area!
33558235,4.32E+17,2021/8/18,Roger,"Great place, big apartment awesome stay"
12799126,4.35E+17,2021/8/22,Justin,"Great guy, great stay! Helped me find some apartments in the area whenever he had free time and offered his assistance with anything I may need. Great host and caretaker."
19527043,401904538,2019/1/16,Gustavo,Ed was a pretty good host. The space is really clean and neat and really close to Albany Med.
32993402,4.31E+17,2021/8/17,Joseph,"Earl’s space is great. Very good location, super quiet, and extremely cozy. If you need a place to stay, don’t pass over Earls! Great shower, all utilities worked great. Thank you, Earl! Would stay again, for sure!"
24655782,328554832,2018/9/26,Timothy,"Yes, this space is great and in a nice little neighborhood. The apartment was sparkling clean and they had nice amenities like chemex coffee, fresh towels, etc. and had a nice personalized note.  I highly recommend this space if you are staying in Albany"
52691284,7.39E+17,2022/10/16,Sophie,Great stay at Diana’s place! Really easy check in and great communication the entire time. House was clean and comfortable for our entire group!
39873571,7.05E+17,2022/8/30,Jennifer,Great value stay on Lark Street!
21752534,628278675,2020/6/7,Celena,Very stylish space!
20633175,355985098,2018/12/6,Katie,"James was such a wonderful host- quick responses, amazing amenities and a greatvspace and location for what we were there for."
39698576,6.09E+17,2022/4/19,Jasin,"This home is in the perfect location. The home itself is spacious with a lot of natural light , which makes for a very relaxing feel. Located near ( walking distance )Albany Medical Center which makes it ideal for travelers (RNs ect) CVS ,Starbucks ,Chipotle, Panera Bread and Steward‘s are also conveniently located near this facility. Elizabeth is quick to answer and communicate well. Highly recommend if staying in the Albany area for a weekend or a longer stay."
44180048,710696207,2020/11/22,Nathaniel,This was a cost and amazing place to stay! The Christmas light show in the park across the street was also an unexpected and fun feature
20519885,8.51E+17,2023/3/20,Deena,"We are a family of 8 adults and one toddler. It is hard to find places that can accommodate us that are affordable and have a flexible cancellation schedule. Michael & Flerida’s house ticked all the boxes. Location was right where we needed to be for the NCAA basketball tourney. Spacious first floor allowed us to be together comfortably. Bedrooms were nicely appointed (TVs in every bedroom for those late games). Kitchen had everything we needed. And the house itself was charming �?arabesque arches, amazing original oak flooring, gorgeous woodwork and a stained glass window in the living room that just glowed in the sun! And clean!!! Michael & Flerida had great recommendations and were proactive in their contact with us. We have rented several houses in the past couple years, and this might be our favorite one. Neighborhood is a compact, urban residential one, but it was quiet, there was plenty of parking and we would stay there again in a heartbeat. Thanks so much for everything!"
46894493,8.60E+17,2023/4/1,Yi-Nan,We had good time and the house is cozy and cute. Dan is very responsive and thoughtful. Definitely recommend this place!!😊
7.08E+17,8.18E+17,2023/2/2,Ed,he refused to help me to learn how to work the TV or the shower
32993402,578120199,2019/12/16,Bernard,Visited Albany to visit colleges near by. Earl place is the best place you can stay at in Albany. It’s so quiet and clean. Next time when I go to Albany I’m staying here again.
44265426,7.33E+17,2022/10/8,Abby,Clean and just as advertised. Great location and we were able to find parking right out front on the weekend. Easy to access and had everything we needed.
13711253,262389252,2018/5/8,Dajah,Adam was very nice. He accepted our request to come even though I.T was short notice. Adam was also very responsive. He also had breakfast and lunch for us. There are a lot of corner stores close by and food places driving distance. We had a free parking spot that was very convenient.
